"Architecture",1
"Tables, sièges, etc.",2
"Stockage",3
"Décor",4
"Éclairage",5
"Jardinières et arbustes taillés",6
"Arbre et végétation",7
"Fonctionnalités végétales",8
"Sculptures",9
"Drapeaux, écriteaux, marqueurs, etc.",10
"Armes et pièges",11
"Trophées",12
"Course",13
"Autre",14
"Heart of Thorns",15
"Path of Fire",16
"End of Dragons",17
"Secrets of the Obscure",18
"Janthir Wilds",19
"Nouvel an lunaire",20
"Super Adventure Box",21
"Foire du Dragon",22
"Festival des Quatre Vents",23
"Ombre du Roi Dément",24
"Hivernel",25
"Décorations du Lion noir",26
